級別,日文名稱,日文拼音,類別,中文意思
N2,着々,ちゃくちゃく,語彙,"順利進行"
N2,,～といった,語彙,"列舉事物"
N2,,～たて,文法,"剛..."
N2,,～ときに～しては,文法,"動作的反覆"
N2,,～ものの,文法,"雖然...但是（事實落差）"
N2,,～たはいいが,文法,"雖然...但是（事實落差）"
N2,,～しつつも,文法,"雖然...但是（明知故犯、內心掙扎）"
N2,,～とはいえ,文法,"雖說..."
N2,,～がてら,文法,"（移動時）順便（一舉兩得）"
N2,～を控えて,～をひかえて,文法,"面臨、迫在眉睫"
N2,,～だの～だの,文法,"什麼...啦，什麼...啦"
N2,,Vつつある,文法,"不斷…"
N2,,～のみならず,文法,"不僅...而且"
N2,,ともなると,文法,"一旦..."
N2,,～きらいがある,文法,"有...的傾向（負面）"
N2,,～なけりゃ,文法,"如果不是…"
N2,,～つく/～ついた,文法,"形容價格，接在高く、安く後"
N2,～に過ぎない,～にすぎない,文法,"只不過是…"
N2,,～にしろ,文法,"即使…/就算…"
N2,,～っこない,文法,"不可能…"
N2,,～につれて,文法,"隨著…改變"
N2,,～にあたって,文法,"…之際"
N2,,Nをはじめ（として）,文法,"以…為首"
N2,,Vた(っ)きり～ない,文法,"就這麼一次，之後就沒有"
N2,,～かねない,文法,"可能（發生不好的事）"
N3,伝える,つたえる,單字,"傳達、告訴"
N3,枯れる,かれ,單字,"枯萎"
N3,詰める,つめる,單字,"裝進、塞入"
N3,積もる,つもる,單字,"堆積"
N3,,くっつける,單字,"貼上、黏上"
N3,解く,とく,單字,"解決、解開"
N3,雇う,やとう,單字,"雇用"
N3,務める,つとめる,單字,"任職、服務"
N3,触れる,ふれる,單字,"接觸"
N3,觸る,さわる,單字,"觸摸"
N3,散らかる,ちらかる,單字,"凌亂"
N3,散る,ちる,單字,"凋零"
N3,飛び出す,とびだす,單字,"衝出去"
N3,飛び込む,とびこむ,單字,"飛入、跳入"
N3,通り過ぎる,とおりすぎる,單字,"越過、經過"
N3,通りかかる,とおりかかる,單字,"路過"
N3,受け取る,うけとる,單字,"領取、接收"
N3,受け持つ,うけもつ,單字,"擔任、負責"
N3,受け入れる,うけいれる,單字,"收納、接納"
N3,受け付ける,うけつける,單字,"接受、受理"
N3,教わる,おそわる,單字,"受教（不可與教えられる混淆）"
N3,言い合う,いいあう,單字,"爭論"
N3,迎える,むかえる,單字,"迎接"
N3,見送る,みおくる,單字,"見送、送行"
N3,招く,まねく,單字,"邀請"
N3,道の角,みちのかど,單字,"路口"
N3,道の端,みちのはし,單字,"路邊"
N3,末っ子,すえっこ,單字,"老么"
N3,經濟,けいざい,單字,"經濟"
N3,再來週,さらいしゅう,單字,"下下週"
N3,,のろのろ,單字,"緩慢移動"
N3,,ぶらぶら,單字,"閒晃"
N3,,はっきり,單字,"明瞭地、乾脆地"
N3,,うっかり,單字,"粗心地"
N3,,すっかり,單字,"完全地"
N3,,がっかり,單字,"失望地"
N3,,そっくり,單字,"一模一樣"
N3,広々,ひろびろ,單字,"寬廣"
N3,確かに,たしかに,單字,"確實地"
N3,確か,たしか,單字,"應該喔、聽說是"
N3,思い込み,おもいこみ,單字,"堅信"
N3,平等,びょうどう,單字,"平等"
N3,絶えず,たえず,單字,"不斷地、無休止地"
N3,暮れ,くれ,單字,"年末"
N3,口を利く,くちをきく,語彙,"說話"
N3,口にする,くちにする,語彙,"吃、提到"
N3,耳にする,みみにする,語彙,"聽到"
N3,頭に来る,あたまにくる,語彙,"生氣"
N3,腹が立つ,はらがたつ,語彙,"生氣"
N3,,～ようと思う,文法,"打算"
N3,,～ようとする,文法,"正要...時"
N3,～ことにする,～ことにする,文法,"決定要"
N3,～ことになる,～ことになる,文法,"即將要（因客觀因素或他人決定而改變並導致的結果）"
N3,,～たものだ,文法,"以前常...（回憶過去）"
N3,,という,文法,"客觀引述訊息"
N3,,～どころか,文法,"雖然（強烈轉折，別說...了，甚至...）"
N3,,～ついでに,文法,"順便（順道）"
N3,,～さえ,文法,"連...都 / 只要（唯一條件）/ 甚至"
N3,,～だけ無駄だった,文法,"…也是徒勞"
N3,,～はずがない,文法,"不會有...的可能（邏輯推斷）"
N3,,～わけがない,文法,"不可能（主觀強調）"
N3,,～にすぎません,文法,"只不過是"
